,Headline,Date,Description
862,Australia reports highest daily cases total in a year,2021-07-12 02:00:19,"<span>...the government of prime minister Scott Morrison bungled its initial negotiations with <mark class=""search-item__highlight"">Pfizer</mark> aimed at securing access to its messenger RNA vaccine.On Monday it...</span>"
861,Tech companies sign $350m Taiwan jab deal,2021-07-12 02:15:29,"<span>...Taiwan Semiconductor Manufacturing Company and Foxconn have signed an agreement to buy 10m doses of the <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech Covid-19 vaccine, which they will donate...</span>"
586,Third jabs of Pfizer vaccine to be offered to vulnerable patients in Israel,2021-07-12 11:28:28,"<span>Third jabs of <mark class=""search-item__highlight"">Pfizer</mark> vaccine to be offered to vulnerable patients in Israel</span>"
585,Israel offers ‘booster’ jab as Covid infections spiral,2021-07-12 13:44:53,"<span>...Israel will begin offering third doses of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> Covid-19 vaccine this week to adults with serious pre-existing medical conditions, becoming the...</span>"
584,Lifting of pandemic restrictions in England confirmed for July 19,2021-07-12 17:15:43,"<span>...passengers hit a pandemic-era high yesterdayThird “booster” jabs of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine are to be offered to vulnerable patients in IsraelFor up-to...</span>"
582,WHO director urges Moderna and Pfizer to increase vaccine supply to poor countries,2021-07-12 21:17:17,"<span>WHO director urges Moderna and <mark class=""search-item__highlight"">Pfizer</mark> to increase vaccine supply to poor countries</span>"
581,News you might have missed …,2021-07-12 22:24:06,"<span>...the capital, Yerevan.Israel will begin offering third doses of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine this week to adults with serious prior medical conditions, the health...</span>"
580,FDA warns of neurological side effect of J&J jab,2021-07-12 22:29:49,"<span>...establish a causal relationship,” the FDA said, adding that no similar signs of the disorder have been reported following the Moderna or BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jabs....</span>"
579,Japan domestic vaccine to start phase 3 trials,2021-07-13 04:50:44,"<span>...the actual treatment and the rest get a placebo. But with the <mark class=""search-item__highlight"">Pfizer</mark> and Moderna vaccines already available in Japan, a trial administering fake shots...</span>"
577,South Korea reports dozens of Covid cases among fully vaccinated ,2021-07-13 07:47:54,"<span>...with Johnson &amp; Johnson’s Janssen Covid-19 vaccine, followed by 59 with <mark class=""search-item__highlight"">Pfizer</mark>’s and 50 with AstraZeneca’s, the Korea Disease Control and Prevention...</span>"
576,FirstFT: Biden to warn US companies over risks of operating in Hong Kong ,2021-07-13 09:48:00,"<span>...become the first country to officially offer booster shots of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> Covid-19 vaccine.Johnson &amp; Johnson has been in discussions with US regulators...</span>"
575,"Wealthy nations undermine Covax vaccine distribution, says WTO head",2021-07-13 16:25:08,"<span>...these vaccines are very complex” and slow down vaccine production, she said. <mark class=""search-item__highlight"">Pfizer</mark>’s Covid-19 vaccine, for example, has 280 components made at 86...</span>"
574,Qatar to drop quarantine requirement for fully vaccinated travellers,2021-07-13 17:32:10,"<span>...quarantine has been opened to those vaccinated with two doses of BioTech/<mark class=""search-item__highlight"">Pfizer</mark>, Moderna and Oxford/Astrazeneca or with one dose of Johnson &amp; Johnson. They...</span>"
573,Tokyo 2020: can the Olympics succeed behind closed doors?   ,2021-07-14 04:00:36,"<span>...to arrival in Tokyo after the IOC struck deals with pharmaceutical company <mark class=""search-item__highlight"">Pfizer</mark> and the Chinese government to acquire vaccine shots. But the main defence...</span>"
572,How to vaccinate the world more quickly,2021-07-14 04:00:36,"<span class=""o-teaser__tag-prefix"">Undercover Economist</span>"
571,US begins shipping J&J Covid-19 vaccines to the Philippines,2021-07-15 15:57:44,"<span>...Philippines on Thursday.The US has also sent doses of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> Covid-19 vaccine to the Philippines. The first batch was delivered in...</span>"
570,Olympics chief warns against ‘divisive’ athlete protests in Tokyo,2021-07-16 04:00:57,"<span>...chances of a coronavirus outbreak, the IOC struck deals with pharmaceutical company <mark class=""search-item__highlight"">Pfizer</mark> and the Chinese government to ensure about 85 per cent of athletes...</span>"
569,"Pfizer shot produces 10 times more antibodies than Sinovac jab, study suggests",2021-07-16 10:00:59,"<span><mark class=""search-item__highlight"">Pfizer</mark> shot produces 10 times more antibodies than Sinovac jab, study suggests</span>"
568,Booster shot debate takes centre stage as global Covid cases rise ,2021-07-17 04:00:08,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
567,Newcastle on edge as England ushers in ‘freedom day’,2021-07-18 19:00:07,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
566,Booster shot debate takes centre stage,2021-07-18 20:21:36,"<span>...the first country to offer boosters, authorising third doses of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab to adults with serious pre-existing medical conditions, Other countries are...</span>"
565,UK expands vaccine rollout to vulnerable children aged 12 and over,2021-07-19 15:53:26,"<span>...difficulties, down syndrome and immunosuppression — would be eligible to receive the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab, Zahawi told MPs in the House of Commons. Children between the...</span>"
564,UK rules out universal Covid vaccination for teenagers for now,2021-07-19 17:48:09,"<span>...three months of their 18th birthday will be eligible for the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab, said vaccines minister Nadhim Zahawi.“We know that vaccines are our...</span>"
563,China lacks Covid exit strategy as it strives for zero infections,2021-07-20 06:04:50,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
562,FirstFT: Global markets shaken by fears over Delta variant,2021-07-20 10:14:11,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
236,Vaccination centres cut gap between doses despite UK’s 8-week recommendation ,2021-07-20 12:56:07,"<span>...Coronavirus vaccination centres in England are offering second doses of the <mark class=""search-item__highlight"">Pfizer</mark> jab to people as little as three weeks after their first shot even...</span>"
235,The argument for vaccinating teens,2021-07-21 09:13:24,"<span class=""o-teaser__tag-prefix"">The FT View</span>"
234,Johnson & Johnson expects vaccine sales to hit $2.5bn this year,2021-07-21 11:53:23,"<span>...as $94.6bn including the contribution from its Covid vaccine.Unlike BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna, J&amp;J is providing the jab on a not-for...</span>"
233,Pfizer and BioNTech to produce vaccine in Cape Town in African push,2021-07-21 13:02:34,"<span><mark class=""search-item__highlight"">Pfizer</mark> and BioNTech to produce vaccine in Cape Town in African push</span>"
232,Pfizer and BioNTech to produce vaccine in Cape Town in African push,2021-07-21 13:20:58,"<span><mark class=""search-item__highlight"">Pfizer</mark> and BioNTech to produce vaccine in Cape Town in African push</span>"
231,Labour shortages continue to disrupt economic recovery,2021-07-21 17:15:07,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
230,News you might have missed …,2021-07-21 22:24:27,"<span>...not going to end the pandemic . . . by the end of next year”.<mark class=""search-item__highlight"">Pfizer</mark> and BioNTech will begin manufacturing their Covid-19 vaccine in South Africa...</span>"
228,‘The race is on’: CureVac seeks answers to vaccine disappointment,2021-07-22 04:00:08,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
227,‘The race is on’ — CureVac seeks answers to vaccine disappointment ,2021-07-22 05:09:19,"<span>...Moderna and fellow German start-up BioNTech, following a tie-up with <mark class=""search-item__highlight"">Pfizer</mark>, snatched the glory of delivering the first mRNA jabs in December 2020...</span>"
226,FirstFT: Wall Street banks redirect China IPOs to Hong Kong after Didi shock,2021-07-22 10:13:29,"<span>...in the country has forced authorities to put 14m people under lockdown.<mark class=""search-item__highlight"">Pfizer</mark> and BioNTech will begin manufacturing their Covid-19 vaccine in South Africa...</span>"
225,GSK picks insider to run consumer health business after spin-off,2021-07-22 14:39:49,"<span>...chief executive. He has overseen the creation of the joint venture with <mark class=""search-item__highlight"">Pfizer</mark>’s consumer unit, which owns brands such as Sensodyne toothpaste and Centrum...</span>"
224,Tokyo Olympics: How to stage the Games in a pandemic,2021-07-23 05:01:06,"<span>...in the village and focus”. The IOC struck deals with pharmaceutical company <mark class=""search-item__highlight"">Pfizer</mark> and the Chinese government to acquire vaccines, which have been distributed through...</span>"
222,FirstFT: Republicans urge supporters to embrace vaccines in abrupt shift of tone,2021-07-23 10:31:26,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
221,US to buy 200m Pfizer jabs to expand total order to 500m,2021-07-23 11:15:54,"<span>US to buy 200m <mark class=""search-item__highlight"">Pfizer</mark> jabs to expand total order to 500m</span>"
220,US buys 200m Pfizer jabs for children and possible boosters,2021-07-23 13:56:26,"<span>US buys 200m <mark class=""search-item__highlight"">Pfizer</mark> jabs for children and possible boosters</span>"
219,"Bigger gap between Pfizer jabs produces stronger antibody response, study suggests",2021-07-23 13:59:58,"<span>Bigger gap between <mark class=""search-item__highlight"">Pfizer</mark> jabs produces stronger antibody response, study suggests</span>"
218,Covid wobble punctures calm markets. Get used to it,2021-07-23 14:00:53,"<span class=""o-teaser__tag-prefix"">The Long View</span>"
217,"Moderna jab safe to use for adolescents, says European Medicines Agency",2021-07-23 15:06:10,"<span>...up to the European Commission, which in May cleared the use of <mark class=""search-item__highlight"">Pfizer</mark>’s vaccine for children as young as 12, to give Spikevax a...</span>"
216,Pfizer jab efficacy drops against Delta in early data from Israel,2021-07-23 15:21:46,"<span><mark class=""search-item__highlight"">Pfizer</mark> jab efficacy drops against Delta in early data from Israel</span>"
215,Why are fully vaccinated people testing positive for Covid?,2021-07-23 17:03:12,"<span class=""o-teaser__tag-prefix"">Explainer</span>"
